City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,49.64,52,0,6.91,US,1742367002
1,yellowknife,62.456,-114.3525,-5.28,71,40,6.91,CA,1742367004
2,bredasdorp,-34.5322,20.0403,72.63,61,0,5.48,ZA,1742367005
3,waitangi,-43.9535,-176.5597,63.82,94,37,3.0,NZ,1742367006
4,college,64.8569,-147.8028,14.07,63,75,10.36,US,1742367007
5,kruisfontein,-34.0033,24.7314,78.15,44,0,3.24,ZA,1742367009
6,nasirabad,26.3,74.7333,88.0,11,0,9.86,IN,1742367010
7,luckau,51.85,13.7167,37.6,45,0,4.0,DE,1742367011
8,grytviken,-54.2811,-36.5092,42.66,93,100,12.53,GS,1742367012
9,huarmey,-10.0681,-78.1522,71.96,83,100,6.71,PE,1742367013
10,sisimiut,66.9395,-53.6735,19.65,94,100,8.1,GL,1742367015
11,dudinka,69.4058,86.1778,13.5,93,100,14.56,RU,1742367016
12,kavalerovo,44.2661,135.0572,33.24,34,99,9.84,RU,1742366728
13,edinburgh of the seven seas,-37.0676,-12.3116,56.03,63,99,19.46,SH,1742367018
14,ilulissat,69.2167,-51.1,28.42,50,47,16.11,GL,1742366850
15,port-aux-francais,-49.35,70.2167,42.53,81,40,27.85,TF,1742367020
16,invercargill,-46.4,168.35,61.02,76,6,5.01,NZ,1742367022
17,klyuchi,52.2667,79.1667,38.91,93,42,11.23,RU,1742367023
18,st. john's,47.5649,-52.7093,49.28,94,75,8.05,CA,1742367024
19,zeya,53.75,127.2667,30.65,88,100,2.84,RU,1742367025
20,minas de marcona,-15.2119,-75.1103,63.84,75,100,7.78,PE,1742367026
21,bikenibeu village,1.3673,173.1241,84.16,84,75,9.22,KI,1742367027
22,papatowai,-46.5619,169.4708,55.42,80,29,4.76,NZ,1742367028
23,villa gesell,-37.2639,-56.973,62.17,71,32,12.17,AR,1742367030
24,qaqortoq,60.7167,-46.0333,27.86,91,93,15.75,GL,1742367031
25,stanley,54.868,-1.6985,28.24,100,0,0.0,GB,1742367032
26,hermanus,-34.4187,19.2345,74.8,55,0,4.03,ZA,1742367033
27,kapa'a,22.0752,-159.319,75.52,88,75,13.8,US,1742367034
28,chhabra,24.6667,76.8333,91.85,12,0,5.1,IN,1742367036
29,albany,42.6001,-73.9662,35.55,69,0,1.05,US,1742367037
30,west island,-12.1568,96.8225,82.38,89,75,16.11,CC,1742367038
31,adamstown,-25.066,-130.1015,76.87,72,18,3.65,PN,1742367039
32,wailua homesteads,22.0669,-159.378,74.19,88,75,13.8,US,1742367041
33,anadyr,64.75,177.4833,-12.5,77,0,6.71,RU,1742367042
34,kirakira,-10.4544,161.9205,83.25,83,100,8.88,SB,1742367043
35,carnarvon,-24.8667,113.6333,80.47,63,0,23.89,AU,1742367044
36,chuka,-0.3332,37.6459,71.06,73,83,3.91,KE,1742366875
37,thunder bay,48.4001,-89.3168,22.98,93,40,2.3,CA,1742367046
38,blackmans bay,-43.0167,147.3167,71.73,65,100,1.99,AU,1742367047
39,monrovia,6.3005,-10.7969,77.77,93,100,6.42,LR,1742367049
40,kapuskasing,49.4169,-82.4331,30.29,93,100,4.61,CA,1742367050
41,geraldton,-28.7667,114.6,79.21,53,0,27.63,AU,1742367051
42,tiksi,71.6872,128.8694,8.42,87,100,9.4,RU,1742367052
43,plastun,44.7561,136.2939,34.74,36,100,4.65,RU,1742367053
44,bethel,41.3712,-73.414,40.03,70,0,1.99,US,1742367054
45,ushuaia,-54.8,-68.3,55.06,62,75,28.77,AR,1742367056
46,kourou,5.1552,-52.6478,76.6,89,99,5.32,GF,1742367057
47,alice springs,-23.7,133.8833,90.95,27,100,10.36,AU,1742367058
48,lihue,21.9789,-159.3672,74.79,88,75,13.8,US,1742367059
49,vilyuchinsk,52.9306,158.4028,30.47,71,100,14.76,RU,1742367060
